epoch,train_loss,train_acc,val_loss,val_acc,learning_rate
1,1.7283303178086573,0.39688,1.5381129950284957,0.4561,0.001
2,1.5095141335409514,0.47144,1.451784759759903,0.4878,0.001
3,1.430772446247996,0.49878,1.4080732256174087,0.5087,0.001
4,1.3687076228005546,0.519,1.3727992296218872,0.5126,0.001
5,1.3263048590446005,0.53606,1.3691014915704727,0.5208,0.001
6,1.2961292765578445,0.54692,1.3451728403568268,0.5278,0.001
7,1.2554236869422757,0.56,1.371103212237358,0.526,0.001
8,1.2316727735558335,0.57014,1.332317766547203,0.5411,0.001
9,1.2002626700060708,0.57956,1.3190712362527848,0.5394,0.001
10,1.1701127451901534,0.59106,1.3089069366455077,0.54,0.001
