epoch,train_loss,train_acc,val_loss,val_acc,learning_rate
1,1.725936923100024,0.38146,1.496120747923851,0.4643,0.001
2,1.4956037615026747,0.46492,1.4052739322185517,0.4985,0.001
3,1.405714129306832,0.49772,1.3478795289993286,0.524,0.001
4,1.3392044135502406,0.52084,1.3118552654981612,0.5308,0.001
5,1.2845345127339265,0.541,1.2969665050506591,0.5387,0.001
6,1.2473165654406255,0.55306,1.2800441235303879,0.5432,0.001
7,1.1985738040233145,0.57324,1.2734883427619934,0.548,0.001
8,1.165784375095854,0.58482,1.2646511167287826,0.5491,0.001
9,1.137539457909915,0.59614,1.2364478796720504,0.5616,0.001
10,1.1016486791931852,0.60598,1.2427474498748778,0.561,0.001
