epoch,train_loss,train_acc,val_loss,val_acc,learning_rate
1,1.7038273911951753,0.39134,1.5470386894443366,0.4476,0.005
2,1.473152104241159,0.47024,1.4011969339998462,0.4969,0.005
3,1.3776314953708892,0.50626,1.3631402299373965,0.5088,0.005
4,1.3121308201109356,0.53148,1.3374660316901872,0.5232,0.005
5,1.2644854803829242,0.5497,1.3053402734708182,0.5356,0.005
6,1.2279195950159332,0.5614,1.315680037570905,0.5266,0.005
7,1.1963219834715508,0.57408,1.3013706252544741,0.5354,0.005
8,1.181781369249534,0.57794,1.322239433662801,0.5348,0.005
9,1.148935834617566,0.59064,1.2754601345786565,0.5437,0.005
10,1.134694694862951,0.59438,1.2890942670121979,0.5376,0.005
